"날짜","출발지","도착지","일별이동횟수","유형","타입","수량"
"20180315","4024790","4171765",1,"N11","직송",224
"20180319","4024790","4171765",1,"N11","직송",224
"20180316","5138404","4024336",1,"N11","직송",192
"20180228","5166129","4078616",1,"N11","직송",240
"20180410","4056326","4100509",1,"N11","직송",288
"20180410","4082771","4126363",1,"N11","직송",192
"20180411","5085698","4227785",1,"N11","직송",82
"20180413","4082771","4208829",1,"N11","직송",192
"20180523","4082771","4091337",1,"N11","직송",192
"20180611","5081094","4017192",1,"N11","직송",175
"20180628","5254883","4194736",1,"N11","직송",192
"20180629","4082771","4088733",1,"N11","직송",154
"20180629","4082771","4168220",1,"N11","직송",256
"20180629","4148779","4307804",1,"N11","직송",288
"20180629","4196377","4227785",1,"N11","직송",288
"20180629","5092694","4083656",1,"N11","직송",64
"20180621","5245690","4120046",1,"N11","직송",192
"20180621","5254883","4165593",1,"N11","직송",264
"20180621","5301193","4078616",1,"N11","직송",924
"20180622","4024790","4169776",1,"N11","직송",256
"20180630","5254883","4165593",1,"N11","직송",264
"20180623","5254883","4060212",1,"N11","직송",264
"20180625","4024790","4065378",1,"N11","직송",192
"20180625","4024790","4198137",1,"N11","직송",288
"20180625","4082771","4005910",1,"N11","직송",256
"20171012","5254883","4035424",1,"N11","직송",528
"20171016","4024790","4056322",1,"N11","직송",288
"20171102","4082771","4012534",1,"N11","직송",224
"20171103","4042492","4295463",1,"N11","직송",288
"20171107","4227172","4150929",1,"N11","직송",192
"20171107","4295029","4038051",1,"N11","직송",192
